t 	 H 	 Rt 	 N 	 N_obs 	 Rt_TTI_corrected
231.200000 	 0.010733 	 2.947153 	 54290.827395 	 52565.014581 	 3.234251
231.400000 	 0.010766 	 2.947153 	 54404.979718 	 52565.014581 	 3.234251
231.600000 	 0.010799 	 2.947153 	 54521.236373 	 52565.014581 	 3.234251
231.800000 	 0.010832 	 2.947153 	 54639.397154 	 52565.014581 	 3.234251
232.000000 	 0.010864 	 2.925108 	 54758.208517 	 52565.014581 	 3.211748
232.200000 	 0.010895 	 2.925108 	 54858.809505 	 53285.705983 	 3.211482
232.400000 	 0.010926 	 2.925108 	 54961.734383 	 53285.705983 	 3.211482
232.600000 	 0.010957 	 2.925108 	 55066.764097 	 53285.705983 	 3.211482
232.800000 	 0.010988 	 2.925108 	 55173.694693 	 53285.705983 	 3.211482
233.000000 	 0.011018 	 2.904102 	 55281.306423 	 53285.705983 	 3.190040
233.200000 	 0.011048 	 2.904102 	 55371.390223 	 53944.328677 	 3.189798
233.400000 	 0.011077 	 2.904102 	 55463.756689 	 53944.328677 	 3.189798
233.600000 	 0.011106 	 2.904102 	 55558.186495 	 53944.328677 	 3.189798
233.800000 	 0.011135 	 2.904102 	 55654.475438 	 53944.328677 	 3.189798
234.000000 	 0.011163 	 2.884283 	 55751.450343 	 53944.328677 	 3.169567
234.200000 	 0.011191 	 2.884283 	 55831.723414 	 54543.379091 	 3.169347
234.400000 	 0.011219 	 2.884283 	 55914.199673 	 54543.379091 	 3.169347
234.600000 	 0.011247 	 2.884283 	 55998.662730 	 54543.379091 	 3.169347
234.800000 	 0.011274 	 2.884283 	 56084.911131 	 54543.379091 	 3.169347
235.000000 	 0.011300 	 2.865740 	 56171.827759 	 54543.379091 	 3.150419
235.200000 	 0.011327 	 2.865740 	 56242.965756 	 55085.629774 	 3.150220
235.400000 	 0.011353 	 2.865740 	 56316.196727 	 55085.629774 	 3.150220
235.600000 	 0.011379 	 2.865740 	 56391.309894 	 55085.629774 	 3.150220
235.800000 	 0.011405 	 2.865740 	 56468.109048 	 55085.629774 	 3.150220
236.000000 	 0.011430 	 2.848519 	 56545.539884 	 55085.629774 	 3.132641
236.200000 	 0.011455 	 2.848519 	 56608.175603 	 55574.084615 	 3.132462
236.400000 	 0.011480 	 2.848519 	 56672.770582 	 55574.084615 	 3.132462
236.600000 	 0.011504 	 2.848519 	 56739.121863 	 55574.084615 	 3.132462
236.800000 	 0.011528 	 2.848519 	 56807.040574 	 55574.084615 	 3.132462
237.000000 	 0.011552 	 2.832628 	 56875.539752 	 55574.084615 	 3.116242
237.200000 	 0.011576 	 2.832628 	 56930.258793 	 56011.836660 	 3.116082
237.400000 	 0.011599 	 2.832628 	 56986.787033 	 56011.836660 	 3.116082
237.600000 	 0.011622 	 2.832628 	 57044.931333 	 56011.836660 	 3.116082
237.800000 	 0.011645 	 2.832628 	 57104.512229 	 56011.836660 	 3.116082
238.000000 	 0.011667 	 2.818054 	 57164.610943 	 56011.836660 	 3.101206
238.200000 	 0.011690 	 2.818054 	 57212.784668 	 56401.945628 	 3.101063
238.400000 	 0.011712 	 2.818054 	 57264.259338 	 56401.945628 	 3.101063
238.600000 	 0.011734 	 2.818054 	 57318.780064 	 56401.945628 	 3.101063
238.800000 	 0.011756 	 2.818054 	 57376.109594 	 56401.945628 	 3.101063
239.000000 	 0.011777 	 2.804759 	 57435.336578 	 56401.945628 	 3.087493
239.200000 	 0.011798 	 2.804759 	 57484.168880 	 56747.374969 	 3.087367
239.400000 	 0.011819 	 2.804759 	 57535.813595 	 56747.374969 	 3.087367
239.600000 	 0.011840 	 2.804759 	 57590.048898 	 56747.374969 	 3.087367
239.800000 	 0.011860 	 2.804759 	 57646.668305 	 56747.374969 	 3.087367
240.000000 	 0.011880 	 2.792697 	 57704.847465 	 56747.374969 	 3.075055
240.200000 	 0.011900 	 2.792697 	 57753.343760 	 57054.175163 	 3.074943
240.400000 	 0.011920 	 2.792697 	 57804.257214 	 57054.175163 	 3.074943
240.600000 	 0.011940 	 2.792697 	 57857.392704 	 57054.175163 	 3.074943
240.800000 	 0.011959 	 2.792697 	 57912.568594 	 57054.175163 	 3.074943
241.000000 	 0.011978 	 2.781806 	 57969.040412 	 57054.175163 	 3.063827
241.200000 	 0.011998 	 2.781806 	 58016.581203 	 57339.169653 	 3.063723
241.400000 	 0.012017 	 2.781806 	 58066.210512 	 57339.169653 	 3.063723
241.600000 	 0.012035 	 2.781806 	 58117.755451 	 57339.169653 	 3.063723
241.800000 	 0.012054 	 2.781806 	 58171.055087 	 57339.169653 	 3.063723
242.000000 	 0.012072 	 2.772021 	 58225.438781 	 57339.169653 	 3.053736
242.200000 	 0.012090 	 2.772021 	 58271.652845 	 57613.063558 	 3.053636
242.400000 	 0.012108 	 2.772021 	 58319.675692 	 57613.063558 	 3.053636
242.600000 	 0.012126 	 2.772021 	 58369.353522 	 57613.063558 	 3.053636
242.800000 	 0.012144 	 2.772021 	 58420.543219 	 57613.063558 	 3.053636
243.000000 	 0.012161 	 2.763272 	 58472.642723 	 57613.063558 	 3.044706
243.200000 	 0.012179 	 2.763272 	 58517.323251 	 57878.684356 	 3.044609
243.400000 	 0.012196 	 2.763272 	 58563.570512 	 57878.684356 	 3.044609
243.600000 	 0.012213 	 2.763272 	 58611.247731 	 57878.684356 	 3.044609
243.800000 	 0.012230 	 2.763272 	 58660.227841 	 57878.684356 	 3.044609
244.000000 	 0.012246 	 2.755487 	 58709.973043 	 57878.684356 	 3.036664
244.200000 	 0.012263 	 2.755487 	 58753.027839 	 58137.071970 	 3.036569
244.400000 	 0.012280 	 2.755487 	 58797.440634 	 58137.071970 	 3.036569
244.600000 	 0.012296 	 2.755487 	 58843.092162 	 58137.071970 	 3.036569
244.800000 	 0.012313 	 2.755487 	 58889.874250 	 58137.071970 	 3.036569
245.000000 	 0.012328 	 2.748596 	 58937.300309 	 58137.071970 	 3.029536
245.200000 	 0.012345 	 2.748596 	 58978.911208 	 58387.090453 	 3.029445
245.400000 	 0.012361 	 2.748596 	 59022.192878 	 58387.090453 	 3.029445
245.600000 	 0.012377 	 2.748596 	 59067.010935 	 58387.090453 	 3.029445
245.800000 	 0.012392 	 2.748596 	 59113.240123 	 58387.090453 	 3.029445
246.000000 	 0.012407 	 2.742528 	 59160.432547 	 58387.090453 	 3.023252
246.200000 	 0.012423 	 2.742528 	 59202.684518 	 58627.708194 	 3.023164
246.400000 	 0.012439 	 2.742528 	 59246.323419 	 58627.708194 	 3.023164
246.600000 	 0.012454 	 2.742528 	 59291.233873 	 58627.708194 	 3.023164
246.800000 	 0.012469 	 2.742528 	 59337.308383 	 58627.708194 	 3.023164
